ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0035743,"CD4-positive, alpha-beta T cell cytokine production",21/15173,23/18866,0.143778317,0.303578714,0.209415496,ARG1/CD55/CD81/DENND1B/GATA3/IFNB1/IL12A/IL18/IL18R1/IL18RAP/IL1B/IL1R1/IL31RA/IL4/IL6/NLRP3/PRKCZ/RSAD2/STARD7/TBX21/XCL1,21
GO:0045059,positive thymic T cell selection,13/15173,14/18866,0.208666539,0.402649596,0.277756842,CD3D/CD3E/CD3G/CD74/DOCK2/ITPKB/PTPN2/PTPRC/SHH/SRF/STK11/TOX/ZAP70,13
GO:0046007,negative regulation of activated T cell proliferation,13/15173,14/18866,0.208666539,0.402649596,0.277756842,ARG1/BTN2A2/CASP3/CD274/CRTAM/FOXP3/LGALS9/LRRC32/PDCD1LG2/PRKAR1A/PRNP/RC3H1/SCRIB,13
GO:0033089,positive regulation of T cell differentiation in thymus,12/15173,13/18866,0.24515285,0.453400221,0.312765776,ADA/ADAM8/EGR3/FOXP3/IHH/IL1A/IL1B/IL7R/RASGRP1/SHH/TESPA1/VNN1,12
GO:2000406,positive regulation of T cell migration,27/15173,31/18866,0.246442528,0.454363117,0.313430004,ADAM10/ADAM17/ADAM8/AIF1/APP/CCL20/CCL5/CCR2/CD99L2/CXCL10/CXCL13/DOCK8/FADD/ITGA4/OXSR1/PYCARD/RHOA/SELENOK/SPN/STK39/TMEM102/TNFRSF14/TNFSF14/WNK1/WNT5A/XCL1/XCL2,27
GO:0035739,"CD4-positive, alpha-beta T cell proliferation",11/15173,12/18866,0.287031419,0.504439478,0.347973816,ARG2/CD274/CD55/CD81/LGALS9/LGALS9B/LGALS9C/TGFBR2/TWSG1/VSIR/XCL1,11
GO:2000561,"regulation of CD4-positive, alpha-beta T cell proliferation",11/15173,12/18866,0.287031419,0.504439478,0.347973816,ARG2/CD274/CD55/CD81/LGALS9/LGALS9B/LGALS9C/TGFBR2/TWSG1/VSIR/XCL1,11
GO:0050798,activated T cell proliferation,39/15173,46/18866,0.297259855,0.520695468,0.359187567,ABL1/AGER/ARG1/BTN2A2/BTN3A1/CASP3/CD24/CD274/CLC/CRTAM/FADD/FOXP3/FYN/GPAM/HHLA2/HMGB1/ICOSLG/IGFBP2/IL12RB1/IL18/IL2/IL23A/IL23R/IL27RA/IL2RA/LGALS9/LRRC32/PDCD1LG2/PRKAR1A/PRNP/PYCARD/RC3H1/RIPK3/RPS3/SATB1/SCRIB/STAT5B/TMIGD2/TNFSF9,39
GO:0043379,memory T cell differentiation,10/15173,11/18866,0.334764737,0.560528204,0.386665093,BCL6/CD46/FGL2/IFNL1/IL12RB1/IL23A/IL23R/PCK1/TNFSF4/TSC1,10
GO:0046642,negative regulation of alpha-beta T cell proliferation,10/15173,11/18866,0.334764737,0.560528204,0.386665093,ARG2/CD274/LGALS9/LGALS9B/LGALS9C/TNFRSF14/TWSG1/VSIR/XCL1/ZBTB7B,10
GO:0051132,NK T cell activation,10/15173,11/18866,0.334764737,0.560528204,0.386665093,CD300A/ELF4/HSPH1/IL12A/IL15/IL18/IL23A/IL23R/RASAL3/ZBTB7B,10
GO:0043380,regulation of memory T cell differentiation,9/15173,10/18866,0.388720981,0.622587603,0.429475077,BCL6/CD46/FGL2/IFNL1/IL12RB1/IL23A/IL23R/PCK1/TNFSF4,9
GO:0046006,regulation of activated T cell proliferation,35/15173,42/18866,0.403993558,0.642462119,0.44318497,AGER/ARG1/BTN2A2/CASP3/CD24/CD274/CLC/CRTAM/FADD/FOXP3/GPAM/HHLA2/HMGB1/ICOSLG/IGFBP2/IL12RB1/IL18/IL2/IL23A/IL23R/IL27RA/IL2RA/LGALS9/LRRC32/PDCD1LG2/PRKAR1A/PRNP/PYCARD/RC3H1/RIPK3/RPS3/SCRIB/STAT5B/TMIGD2/TNFSF9,35
GO:0043374,"CD8-positive, alpha-beta T cell differentiation",13/15173,15/18866,0.414065581,0.653316875,0.450672827,BCL2/CBFB/EOMES/GPR18/IRF1/NCKAP1L/RUNX1/RUNX3/SATB1/SOCS1/TNFSF8/TOX/ZBTB7B,13
GO:0070234,positive regulation of T cell apoptotic process,12/15173,14/18866,0.464070716,0.712832802,0.491728266,ADAM8/CCL5/CD274/IDO1/LGALS14/LGALS9/NFKBID/PDCD1/PRELID1/TP53/WNT5A/ZC3H8,12
GO:0010818,T cell chemotaxis,23/15173,28/18866,0.523291357,0.772223099,0.532697043,ADAM10/ADAM17/CCL26/CCL3/CCL5/CCR2/CXCL10/CXCL11/CXCL13/CXCL16/CXCR3/GPR183/OXSR1/PIK3CD/PIK3CG/SLC12A2/STK39/TMEM102/TNFSF14/WNK1/WNT5A/XCL1/XCL2,23
GO:0010819,regulation of T cell chemotaxis,14/15173,17/18866,0.566702522,0.820084544,0.565712956,ADAM10/ADAM17/CCL5/CCR2/CXCL10/CXCL13/OXSR1/STK39/TMEM102/TNFSF14/WNK1/WNT5A/XCL1/XCL2,14
GO:0010820,positive regulation of T cell chemotaxis,13/15173,16/18866,0.615149836,0.863281966,0.595511519,ADAM10/ADAM17/CCL5/CCR2/CXCL13/OXSR1/STK39/TMEM102/TNFSF14/WNK1/WNT5A/XCL1/XCL2,13
GO:0042104,positive regulation of activated T cell proliferation,20/15173,26/18866,0.765294062,0.979054454,0.675374012,AGER/CD24/FADD/GPAM/HHLA2/HMGB1/ICOSLG/IGFBP2/IL12RB1/IL18/IL2/IL23A/IL23R/IL27RA/IL2RA/PYCARD/RPS3/STAT5B/TMIGD2/TNFSF9,20
GO:0001768,establishment of T cell polarity,9/15173,12/18866,0.805802315,1,0.689822726,CCR7/CRTAM/DOCK2/DOCK8/FLOT2/GSN/MYH9/RIPOR2/SCRIB,9
GO:0002440,production of molecular mediator of immune response,287/15173,306/18866,1.97E-11,1.12E-09,7.69E-10,AICDA/APLF/APOA1/APOA2/ARG1/ATAD5/ATM/B2M/BATF/BCL10/BCL6/BST2/BTK/C17orf99/CARD11/CCR2/CCR6/CD160/CD22/CD226/CD244/CD28/CD36/CD40/CD40LG/CD55/CD74/CD81/CD86/CD96/CGAS/CHGA/CLC/CLCF1/CLNK/CTNNBL1/CUEDC2/DDX1/DDX21/DDX58/DENND1B/DHX36/DLG1/DNAJB9/ELANE/ERCC1/EXO1/EXOSC3/EXOSC6/F2RL1/FCER1G/FCGR2B/FCRL3/FFAR2/FFAR3/FGL2/FOXP3/FZD5/GALNT2/GAPT/GAS6/GATA3/GCNT3/GPI/GPRC5B/HFE/HLA-A/HLA-DQB1/HLA-DRB1/HLA-E/HLA-F/HLA-G/HMCES/HMOX1/HPX/HSPD1/IFNB1/IGKC/IGKV1-12/IGKV1-13/IGKV1-16/IGKV1-17/IGKV1-27/IGKV1-39/IGKV1-5/IGKV1-6/IGKV1-8/IGKV1-9/IGKV1D-12/IGKV1D-13/IGKV1D-17/IGKV1D-33/IGKV1D-39/IGKV1D-43/IGKV1D-8/IGKV2-24/IGKV2-28/IGKV2-29/IGKV2-30/IGKV2-40/IGKV2D-24/IGKV2D-26/IGKV2D-28/IGKV2D-29/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3-7/IGKV3D-11/IGKV3D-15/IGKV3D-20/IGKV4-1/IGKV5-2/IGKV6-21/IGKV6D-21/IGKV6D-41/IGLV1-36/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-50/IGLV1-51/IGLV10-54/IGLV11-55/IGLV2-11/IGLV2-14/IGLV2-18/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-10/IGLV3-12/IGLV3-16/IGLV3-19/IGLV3-21/IGLV3-22/IGLV3-25/IGLV3-27/IGLV3-9/IGLV4-3/IGLV4-60/IGLV4-69/IGLV5-37/IGLV5-45/IGLV5-48/IGLV5-52/IGLV6-57/IGLV7-43/IGLV7-46/IGLV8-61/IGLV9-49/IL10/IL12A/IL13/IL18/IL18R1/IL18RAP/IL1B/IL1R1/IL2/IL21/IL27RA/IL31RA/IL4/IL4R/IL5/IL6/IL7R/IRAK3/ITM2A/JAK3/KARS1/KDELR1/KIR2DL4/KIT/KMT5B/KMT5C/LACC1/LIG4/LILRB1/MAD2L2/MALT1/MAP3K7/MAVS/MCM3AP/MIF/MLH1/MR1/MSH2/MSH3/MSH6/MZB1/NBN/NDFIP1/NLRP3/NOD2/NR4A3/NSD2/PARP3/PAXIP1/PGC/PHB/PHB2/PKN1/PMS2/PMS2P1/PMS2P5/PMS2P6/POLB/POLL/POLM/POLQ/POU2F2/PRKCZ/PRKDC/PTPN22/PTPRC/RIF1/RNF168/RNF8/RSAD2/SAMHD1/SASH3/SCIMP/SEMA7A/SHLD1/SHLD2/SHLD3/SIRT1/SLC11A1/SLC7A5/SMAD7/SPHK2/SPON2/STARD7/STAT6/STX4/SUPT6H/SWAP70/TBX21/TCF3/TCIRG1/TFRC/TGFB1/TGFB2/TGFB3/THOC1/TICAM1/TLR2/TLR3/TLR4/TLR9/TMBIM6/TMIGD2/TNF/TNFRSF14/TNFRSF1B/TNFRSF4/TNFSF13/TNFSF13B/TNFSF4/TP53BP1/TRAF2/TRAF3IP2/TRAF6/TRAV14DV4/TRAV18/TRAV19/TRAV2/TRAV38-1/TRAV38-2DV8/TRAV40/TRAV9-2/TRDV1/TRDV2/TRDV3/TRIL/TRIM6/TRPM4/UNG/VPREB1/VPREB3/WNT5A/XBP1/XCL1/XRCC4/ZPBP2,287
GO:0002262,myeloid cell homeostasis,151/15173,154/18866,2.22E-11,1.23E-09,8.52E-10,ACIN1/ACVR1B/ACVR2A/ADAM17/ADAR/ADD1/ADGRF5/AHSP/ALAS1/ALAS2/AMPD3/ANKRD54/ANXA1/ARID4A/ARNT/ATP5IF1/AXL/B2M/BAK1/BAP1/BAX/BCL2L11/BCL6/BMP4/BPGM/BRD1/CASP3/CCR2/CDIN1/CDK5RAP3/CDK6/CEBPG/CXCR2/DMTN/DNASE2/DYRK3/EPAS1/EPB42/ERCC2/ETS1/ETV2/FAM210B/FANCC/FCER1G/FLVCR1/FOXO3/FOXP3/G6PD/GATA1/GATA2/GATA3/HBZ/HCAR2/HCLS1/HIF1A/HIPK2/HMGB1/HMGB2/HMOX1/HOXA5/HOXB6/HSPA1A/HSPA1B/HSPA9/ID2/IKZF1/IL6/INHA/INHBA/INPP5D/IREB2/ISG15/ITPKB/JAK2/JAK3/JAM3/JMJD6/KAT7/KIT/KITLG/KLF1/KLF13/KLF2/KMT2E/L3MBTL3/LDB1/LYAR/LYN/MAEA/MAFB/MAPK14/MED1/MERTK/MFHAS1/MIR221/MPIG6B/MPL/NCAPG2/NCKAP1L/NCSTN/NFE2L1/P4HTM/PDE4B/PIK3CB/PIK3CD/PKNOX1/PRDX1/PRKDC/PRMT1/PTBP3/PTPN2/RB1/RBFOX2/RHAG/RHEX/RPS14/RPS17/RPS19/RPS24/SENP1/SFXN1/SH2B3/SLC11A2/SLC25A38/SLC4A1/SLC7A11/SMAD5/SMAP1/SOD1/SOX6/SP3/SPI1/SRF/STAT1/STAT3/STAT5B/TAL1/TGFBR3/THRA/TMEM14C/TMOD3/TRIM10/TRIM58/UBA5/UFL1/VEGFA/ZBTB7A/ZFP36/ZFP36L1/ZFPM1/ZNF16,151
GO:0019882,antigen processing and presentation,221/15173,232/18866,4.20E-11,2.26E-09,1.56E-09,ABCB9/ACE/ACTR10/ACTR1A/ACTR1B/AP1B1/AP1G1/AP1M1/AP1M2/AP1S1/AP1S2/AP1S3/AP2A1/AP2A2/AP2B1/AP2M1/AP2S1/AP3B1/AP3D1/ARF1/ATG5/B2M/BCAP31/CALR/CANX/CAPZA1/CAPZA2/CAPZB/CCR7/CD1A/CD1B/CD1C/CD1D/CD1E/CD207/CD209/CD36/CD68/CD74/CD8A/CENPE/CHUK/CLEC4A/CLEC4M/CLTA/CLTC/CTSD/CTSF/CTSH/CTSL/CTSS/CTSV/CYBA/CYBB/DCTN1/DCTN2/DCTN3/DCTN4/DCTN5/DCTN6/DNM2/DYNC1H1/DYNC1I1/DYNC1I2/DYNC1LI1/DYNC1LI2/DYNLL1/DYNLL2/ERAP1/ERAP2/FCER1G/FCGR1A/FCGR1B/FCGR2B/FGL2/HFE/HLA-A/HLA-B/HLA-C/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DOB/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-F/HLA-G/HLA-H/ICAM1/IDE/IFI30/IKBKB/IKBKG/ITGAV/ITGB5/KIF11/KIF15/KIF18A/KIF22/KIF23/KIF26A/KIF2A/KIF2C/KIF3A/KIF3B/KIF3C/KIF4A/KIF4B/KIF5A/KIFAP3/KLC1/KLC2/LAG3/LGMN/LILRB2/LNPEP/MARCHF1/MARCHF8/MFSD6/MR1/NCF1/NCF2/NCF4/NOD1/NOD2/OSBPL1A/PDIA3/PIKFYVE/PSAP/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMA8/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMB8/PSMB9/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD1/PSMD10/PSMD11/PSMD12/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD5/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/PSME4/PSMF1/PYCARD/RAB10/RAB27A/RAB32/RAB33A/RAB34/RAB35/RAB3B/RAB3C/RAB4A/RAB5B/RAB6A/RAB7A/RAB8B/RACGAP1/RELB/RFTN1/RILP/SAR1B/SEC13/SEC22B/SEC23A/SEC24A/SEC24B/SEC24C/SEC24D/SEC31A/SLC11A1/SNAP23/SPTBN2/TAP1/TAP2/TAPBP/TAPBPL/THBS1/TRAF6/TREM2/VAMP3/VAMP8/WAS/YTHDF1,221
GO:0002200,somatic diversification of immune receptors,77/15173,77/18866,5.00E-08,1.30E-06,8.96E-07,ADAR/AICDA/APLF/ATAD5/ATM/BATF/BCL11B/BCL6/CCR6/CD28/CD40/CD40LG/CLCF1/CTNNBL1/DCAF1/DCLRE1C/ERCC1/EXO1/EXOSC3/EXOSC6/FOXP3/HMCES/HMGB1/HMGB2/HSPD1/IL10/IL2/IL27RA/IL4/KMT5B/KMT5C/LEF1/LIG4/MAD2L2/MCM3AP/MLH1/MSH2/MSH3/MSH6/NBN/NDFIP1/NSD2/PARP3/PAXIP1/PMS2/PMS2P1/PMS2P5/PMS2P6/POLB/POLL/POLM/POLQ/PRKDC/PTPRC/RAG1/RAG2/RIF1/RNF168/RNF8/SAMHD1/SHLD1/SHLD2/SHLD3/STAT6/SUPT6H/SWAP70/TBX21/TCF3/TCF7/TFRC/TGFB1/THOC1/TNFSF13/TNFSF4/TP53BP1/UNG/XRCC4,77
GO:0002683,negative regulation of immune system process,407/15173,463/18866,9.99E-06,0.000127051,8.76E-05,A2M/ABR/ACOD1/ADA/ADAR/ADGRF5/ADORA1/ADORA2A/ADTRP/AKT1/ALOX15/ANXA1/APOA1/APOA2/APOD/APPL1/ARG1/ARG2/ARRB2/ATM/AXL/BANK1/BCL10/BCL6/BCR/BLK/BMP4/BPI/BST2/BTK/BTN2A2/C1QBP/C1QC/C4BPA/C4BPB/C5/C5AR2/CACTIN/CASP3/CBFB/CCL2/CCL25/CCL28/CCL3/CCN3/CCR2/CD160/CD200/CD200R1/CD22/CD274/CD300A/CD300LF/CD47/CD55/CD59/CD68/CD74/CD80/CD84/CD86/CD96/CDC73/CDK6/CEACAM1/CEBPB/CIB1/CLDN18/CLEC12B/CLEC4G/CLNK/CNOT7/CNR1/CNR2/CR1/CRK/CRTAM/CST7/CTLA4/CTNNB1/CTR9/CUEDC2/CUL4A/CXCR2/CYP19A1/DCST1/DGKZ/DHX58/DLG1/DLG5/DLL1/DPF2/DPP4/DTX1/DUSP1/DUSP10/DUSP22/DUSP3/ELF1/EMILIN1/ENPP3/ERBB2/EZR/FADD/FAM3A/FBN1/FBXO7/FBXW7/FCER1G/FCGR2B/FCRL3/FCRLB/FER/FGL2/FGR/FOXF1/FOXJ1/FOXP3/FSTL3/GABPA/GATA2/GBP1/GCSAM/GLI3/GLMN/GNRH1/GPAM/GPATCH3/GPER1/GPNMB/GPR137/GPR137B/GPR171/GPR18/GPR55/GPR68/GPS2/GPX1/GREM1/GRN/H4-16/H4C1/H4C11/H4C12/H4C13/H4C14/H4C15/H4C2/H4C3/H4C4/H4C5/H4C8/H4C9/HAVCR2/HES1/HFE/HLA-A/HLA-B/HLA-DOA/HLA-DOB/HLA-DRB1/HLA-E/HLA-F/HLA-G/HLX/HMGB1/HMGB3/HMOX1/HOXA5/HOXA7/HOXA9/HSPA9/HTRA1/ID2/IDO1/IFI16/IFNB1/IFNL1/IHH/IL10/IL17D/IL1RL1/IL2/IL20RB/IL27RA/IL2RA/IL31RA/IL4/IL4R/IL7R/ILRUN/INHA/INHBA/INPP5D/IRAK3/IRF1/ITCH/ITPKB/JAK3/KIR2DL4/KITLG/KLF13/KLRC4-KLRK1/KLRK1/LAG3/LAX1/LDB1/LDLR/LEO1/LGALS3/LGALS9/LGALS9B/LGALS9C/LILRB1/LILRB2/LILRB3/LILRB4/LOXL3/LPXN/LRCH1/LRRC17/LRRC32/LST1/LTF/LYN/MAD1L1/MAFB/MARCHF7/MDK/MEIS1/MEIS2/MERTK/METTL3/MIA3/MICA/MICB/MIF/MILR1/MIR181B1/MIR221/MIXL1/MMP28/MNDA/MUL1/MYC/N4BP2L2/NBL1/NCAPG2/NDFIP1/NF1/NFE2L2/NFKBIA/NFKBID/NLRC3/NLRC5/NLRP6/NLRX1/NME1/NME2/NMI/NOTCH1/NPLOC4/NR1D1/NR1H2/NR1H3/NRARP/PADI2/PAF1/PAG1/PARP14/PARP3/PAWR/PCBP2/PDCD1/PDCD1LG2/PDE5A/PELI1/PF4/PGLYRP1/PGLYRP2/PHPT1/PIAS3/PIBF1/PIK3R1/PKN1/PLA2G2D/PLA2G2F/PLCB1/PLCL2/PPARG/PPM1B/PPP3CB/PRDX2/PRKAR1A/PRKDC/PRMT1/PRNP/PSMA1/PSMB4/PTGER4/PTK2B/PTPN2/PTPN22/PTPN6/PTPRC/PTPRJ/PVRIG/RARA/RBM15/RC3H1/RC3H2/RHBDD3/RIOK3/RIPOR2/RNF125/RNF26/RPS19/RUNX1/RUNX3/SAMHD1/SAMSN1/SCGB1A1/SCRIB/SDC4/SEC14L1/SELENOS/SERPINB9/SERPING1/SFTPD/SH2D1A/SHH/SLA2/SLAMF8/SLIT2/SMAD7/SOCS1/SOCS5/SOCS6/SOX11/SPN/STAP1/STAT5B/STAT6/SUSD4/SYT11/TAL1/TAPBPL/TARBP2/TARM1/TBC1D10C/TBX21/TCTA/TGFB1/TGFB2/TGFB3/THBS1/THOC1/TIGIT/TKFC/TLR3/TLR4/TMBIM6/TMEM131L/TMEM176A/TMEM176B/TMEM178A/TNF/TNFAIP3/TNFAIP8L2/TNFRSF13B/TNFRSF14/TNFRSF21/TNFSF4/TOB2/TRAF3IP1/TRAFD1/TRIB1/TRIM27/TRIM38/TSC22D3/TSPAN32/TSPAN6/TTLL12/TWSG1/TYRO3/TYROBP/UBASH3A/UBASH3B/UFD1/VSIG4/VSIR/VTCN1/WASL/WDR61/XCL1/YTHDF2/YTHDF3/ZBTB16/ZBTB46/ZBTB7B/ZC3H12A/ZC3H8/ZFP36/ZFP36L1/ZFPM1/ZNF675/ZPBP2,407
GO:0001776,leukocyte homeostasis,83/15173,86/18866,1.21E-05,0.000150105,0.000103546,ABL1/ADA/ADAM17/AKT1/ANXA1/AXL/BAK1/BAP1/BAX/BCL10/BCL2/BCL2L11/CACNA1F/CASP3/CCNB2/CCR2/CD74/CORO1A/CXCL6/CXCR2/DNAJA3/DOCK10/DOCK11/FADD/FAS/FCER1G/FLT3/FOXP3/GAPT/GPAM/GPR174/GPR183/HCAR2/HIF1A/HMGB1/IL2/IL2RA/IL6/ITPKB/JAK3/JAM3/KITLG/LAT/LGALS9/LYN/MEF2C/MERTK/MIF/MIR17HG/MPL/NCKAP1L/P2RX7/PDE4B/PIK3CB/PIK3CD/PKN1/PMAIP1/PPP2R3C/PPP3CB/RAG1/RC3H1/RC3H2/RIPK3/SH2B3/SIT1/SKIL/SLC39A3/SLC40A1/SLC46A2/SLC7A11/SOS1/SPNS2/SPTA1/STAT5B/TCIRG1/TNFAIP3/TNFRSF13B/TNFRSF13C/TNFRSF17/TNFSF13B/TNFSF14/TSC22D3/ZC3H8,83
GO:0031294,lymphocyte costimulation,56/15173,58/18866,0.000362724,0.002744286,0.001893071,AKT1/BTLA/CARD11/CAV1/CCR7/CD160/CD24/CD274/CD28/CD320/CD3E/CD40LG/CD5/CD80/CD81/CD86/CDC42/CSK/CTLA4/DPP4/EFNB1/EFNB2/EFNB3/FYN/GRAP2/GRB2/HHLA2/ICOS/ICOSLG/IL4/KLRC4-KLRK1/KLRK1/LCK/LGALS1/LYN/MAP3K8/PAK1/PAK2/PAK3/PDCD1/PDCD1LG2/PDPK1/PIK3CA/PIK3R1/PTPN11/PTPN6/RAC1/SRC/TMIGD2/TNFRSF13C/TNFRSF14/TNFSF13B/TNFSF14/TNFSF4/VAV1/YES1,56
GO:0002507,tolerance induction,26/15173,26/18866,0.003454296,0.017845365,0.012310138,ACOD1/AIRE/BLK/CCR4/CD274/CD3E/CLC/FOXJ1/FOXP3/HAVCR2/HLA-B/HLA-E/HLA-G/HMGB1/ICOS/IDO1/IL2RA/IRAK3/LGALS9/LILRB2/LYN/MARCHF7/PDCD1/PHLPP1/TGFBR2/TNFAIP3,26
GO:0090713,immunological memory process,13/15173,14/18866,0.208666539,0.402649596,0.277756842,BCL6/CD160/CD46/CD81/FGL2/IFNL1/IL12RB1/IL23A/IL23R/PCK1/TNFRSF14/TNFSF4/TSC1,13
